Enum Value	Module Name	Max String Length	Description	English	Tr_Chinese	Si_Chinese	Thai	Spanish	French	German	Russian	Italian	Arabic   	Portuguese	Turkish	Vietnamese	Indonesian	Malaysian	Hindi	Danish	Czech	Polish	Hungarian	Finnish	Norwegian	Slovak	Dutch	Swedish	Croatian	Romanian	Slovenian	Greek	Hebrew	Bulgarian	Marathi	Persian	Urdu	Tamil	Bengali	Punjabi	Telugu	Ukrainian
BRA_STR_ID_ERROR_GPRS_UNKNOWN_APN	Undefined	14	No Translation					V	V	V	V	V			V	V	V																									
BRA_STR_ID_ERROR_GPRS_AUTHENTICATION_FAILURE	Undefined	14	No Translation					V	V	V	V	V			V	V	V																									
BRA_STR_ID_ERROR_GPRS_UNSUPPORTED_SERVICE_OPTION	Undefined	14	No Translation					V	V	V	V	V			V	V	V																									
BRA_STR_ID_ERROR_GPRS_UNSUBSCRIBED_SERVICE_OPTION	Undefined	14	No Translation					V	V	V	V	V			V	V	V																									
BRA_STR_ID_ERROR_CSD_AUTH_FAIL	Undefined	30	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_SIM_1	Undefined	4	No Translation				V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V
MEA_STR_ID_SIM_2	Undefined	4	No Translation				V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V
MEA_STR_ID_CHOOSE_SIM	Undefined	25	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
MEA_STR_ID_FORWARD_WITH_EDIT_CONTENT	Undefined	28	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
MEA_STR_ID_SERVER_TIMEOUT	Undefined	14	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V		V		V	V
MEA_STR_ID_DOWNLOAD_EXPIRED_MM_CONFIRM	Undefined	31	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V				V	
MEA_STR_ID_MAX_TEXT_LEN_REACHED	Undefined	24	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_REMOVE_INVALID_OBJECT	Undefined	23	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_REMOVE_INVALID_NUMBER	Undefined	22	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_MOVE_TO_ARCHIVE	Undefined	15	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_MOVE_TO_ARCHIVE_QUERY	Undefined	16	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
MEA_STR_ID_EMPTY_STRING	Undefined	1	No Translation		V																																					
MEA_STR_ID_ATTACH_TITLE	Undefined	10	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_ADD_SLIDE_BEFORE	Undefined	16	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_ADD_SLIDE_AFTER	Undefined	15	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_ADD_BOOKMARK_TEXT	Undefined	17	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_CONTENT_TRUNCATED	Undefined	29	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_EMPTY_STRING034	Undefined	5	No Translation	V	V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V	V	V	V	V	V	V	V
MEA_STR_ID_REPLY_SMS	Undefined	12	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_CONFIG_6_HOURS	Undefined	7	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_EMPTY_STRING023	Undefined	5	No Translation	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V
MEA_STR_ID_EMPTY_STRING024	Undefined	5	No Translation	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V
MEA_STR_ID_EMPTY_STRING025	Undefined	5	No Translation	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V
MEA_STR_ID_FAILED_TO_DISPLAY_JSR_MMS	Undefined	17	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_DOWNLOAD_FAILED_ILLEGAL_PDU	Undefined	21	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_FAILED_CONNECTION	Undefined	32	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_FAILED_TO_FORWARD	Undefined	25	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_FAILED_TO_REPLY	Undefined	27	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_FAILED_TO_ADD_EMPTY_OBJECT	Undefined	24	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_FAILED_LARGE_RESOLUTION	Undefined	27	No Translation							V		V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_FAILED_FILE_CORRUPT	Undefined	21	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_DOWNLOAD_REQ2	Undefined	6	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_EMPTY199	Undefined	1	No Translation		V																																					
MEA_STR_ID_FAILED_FORWARD	Undefined	33	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_EMPTY212	Undefined	1	No Translation		V																																					
MEA_STR_ID_EMPTY213	Undefined	1	No Translation		V																																					
MEA_STR_ID_EMPTY214	Undefined	1	No Translation		V																																					
MEA_STR_ID_PLAY_VIDEO	Undefined	10	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_FAILED_TO_INSERT_DRM	Undefined	27	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_FAILED_TO_RESIZE_IMAGE	Undefined	22	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_ROAM_DOWNLOAD_REQ2	Undefined	2	No Translation					V	V	V	V	V			V	V	V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_ROAM_SEND_REQ2	Undefined	2	No Translation					V	V	V	V	V			V	V	V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_ATTACH_MAXIMUM_REACHED	Undefined	33	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
MEA_STR_ID_CONFIG_COMPOSE	Undefined	7	No Translation					V	V	V		V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
MEA_STR_ID_CREATION_MODE	Undefined	13	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V											
MEA_STR_ID_CREATION_MODE_FREE	Undefined	4	No Translation					V	V	V		V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V											
MEA_STR_ID_CREATION_MODE_RESTRICTED	Undefined	10	No Translation					V	V	V		V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V											
MEA_STR_ID_RESTRICTED_MIME_ACTION_NONE	Undefined	36	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V											
MEA_STR_ID_RESTRICTED_MODE_REMOVE_OBJ_REQ	Undefined	44	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
